Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Temperature
932,-360,16744,-261,-92,-330,244
850,-216,16784,-340,-100,-636,243
694,-308,16722,-413,50,-980,243
670,298,16682,-294,253,-918,243
1346,118,16570,314,20,-874,243
730,-272,16764,578,154,548,243
444,-814,16956,437,234,339,243
974,32,16832,283,184,-763,243
892,-686,16650,99,160,65,243
850,434,16568,429,-66,-563,243
1450,-712,16812,671,-7,1250,243
740,-1022,17364,420,27,86,243
768,-600,16678,96,242,-1049,243
1404,-130,16926,297,142,-44,243
1550,-656,16932,369,-287,246,243
1110,-970,16806,364,-237,32,243
806,-16,16706,-75,-243,-621,243
824,-682,16778,67,235,-10,243
958,96,16750,104,-53,-545,243
570,-1200,16830,140,48,529,243
892,-720,16742,56,20,83,243
934,-350,16818,71,-36,39,243
954,-380,16758,64,7,35,243
910,-362,16806,57,68,37,243
938,-356,16780,67,30,41,243
928,-346,16818,63,35,37,243
906,-366,16808,60,17,27,243
918,-342,16812,64,23,38,243
904,-392,16742,62,35,30,243
944,-344,16774,62,34,30,243
954,-372,16816,66,28,44,243
910,-344,16832,60,9,36,243
908,-376,16782,67,29,38,243
932,-350,16798,63,51,40,243
942,-370,16820,72,46,43,243
928,-380,16822,64,20,37,243
934,-386,16784,72,0,45,243
928,-366,16804,63,-4,35,243
936,-364,16800,63,27,38,243
934,-364,16814,64,41,31,243
920,-394,16750,58,50,42,243
902,-350,16792,64,47,40,243
914,-382,16810,62,23,39,243
934,-358,16802,60,27,32,243
954,-350,16756,63,23,38,243
920,-372,16798,64,25,44,243
916,-346,16798,65,32,33,243
920,-352,16778,68,22,38,243
932,-354,16790,61,24,35,243
888,-344,16794,61,30,35,243
920,-368,16806,61,31,35,243
934,-390,16798,62,31,39,243
908,-366,16806,60,40,39,243
936,-336,16796,65,32,35,243
938,-358,16806,60,37,35,243
942,-336,16780,58,14,35,243
942,-376,16760,60,14,42,243
928,-358,16772,59,28,32,243
958,-368,16834,64,35,33,243
910,-362,16806,57,29,35,243
930,-360,16752,64,32,38,243
934,-350,16782,60,28,39,243
940,-392,16832,61,26,39,243
924,-354,16800,62,29,36,243
908,-358,16766,58,32,35,243
918,-384,16810,60,35,46,243
908,-370,16800,72,29,32,243
920,-372,16772,64,25,35,243
920,-374,16770,69,22,39,243
910,-356,16800,67,29,42,243
928,-372,16784,59,22,31,243
924,-390,16796,63,25,27,243
940,-362,16746,53,30,35,243
936,-350,16796,66,20,41,243
940,-370,16818,60,33,38,243
908,-364,16802,57,34,44,243
902,-392,16780,65,36,28,243
904,-372,16810,65,25,36,243
934,-338,16788,60,28,40,243
950,-344,16806,57,21,39,243
948,-368,16778,53,10,30,243
908,-368,16816,58,26,32,243
914,-366,16810,60,21,38,243
924,-332,16778,64,21,42,243
926,-382,16774,57,31,39,243
